dc_id,sku_id,category,physical_stock,in_transit_stock,effective_stock,avg_daily_sales,sales_trend_7d,projected_daily_sales,hourly_sales,safety_stock,stock_to_sales_ratio,days_of_cover,day_of_week,is_weekend,hour_of_day,lead_time_hours,projected_48h_sales,expected_stock_at_48h,hours_until_shortage,will_shortage
DC-02,SKU-012,antiviral,55,0,55,30.26,0.622,18.82,0.7841,9,2.923,2.92,6,1,12,18,37.64,17.36,48.0,0
DC-03,SKU-011,cardiac,206,94,300,119.76,0.916,109.66,4.569,54,2.736,2.74,3,0,14,18,219.31,80.69,48.0,0
DC-04,SKU-005,reefer,409,24,433,88.68,0.603,53.47,2.228,26,8.098,8.1,1,0,3,24,106.95,326.05,48.0,0
DC-01,SKU-005,reefer,572,0,572,118.56,0.985,116.78,4.866,58,4.898,4.9,1,0,4,24,233.57,338.43,48.0,0
DC-03,SKU-014,antibiotic,74,15,89,74.77,0.75,56.1,2.3376,28,1.586,1.59,3,0,21,24,112.2,-23.2,26.1,1
DC-02,SKU-011,cardiac,78,1,79,23.65,0.798,18.89,0.7869,9,4.183,4.18,6,1,22,36,37.77,41.23,48.0,0
DC-02,SKU-001,cardiac,36,22,58,23.35,0.957,22.33,0.9305,11,2.597,2.6,2,0,2,12,44.67,13.33,48.0,0
DC-01,SKU-009,antiviral,0,0,0,107.71,1.374,148.0,6.1667,74,0.0,0.0,4,0,8,6,296.0,-296.0,0.0,1
DC-02,SKU-009,antiviral,49,10,59,41.5,1.438,59.69,2.4872,29,0.988,0.99,3,0,14,6,119.39,-60.39,12.06,1
DC-02,SKU-002,reefer,21,6,27,12.48,0.798,9.96,0.4151,4,2.71,2.71,5,1,18,36,19.93,7.07,48.0,0
DC-02,SKU-008,antiviral,196,88,284,69.19,0.84,58.14,2.4226,29,4.885,4.88,3,0,0,12,116.29,167.71,48.0,0
DC-05,SKU-011,cardiac,92,0,92,30.93,1.437,44.44,1.8518,22,2.07,2.07,4,0,10,48,88.89,3.11,37.8,1
DC-02,SKU-010,reefer,153,0,153,98.93,0.806,79.72,3.3215,39,1.919,1.92,1,0,13,24,159.43,-6.43,34.32,1
DC-02,SKU-013,reefer,34,46,80,75.18,1.483,111.5,4.6457,55,0.718,0.72,2,0,15,12,223.0,-143.0,5.38,1
DC-02,SKU-009,antiviral,418,248,666,115.67,0.908,104.99,4.3747,52,6.343,6.34,4,0,21,36,209.98,456.02,48.0,0
DC-02,SKU-004,reefer,103,0,103,38.21,1.237,47.28,1.9701,23,2.178,2.18,1,0,23,6,94.57,8.43,40.61,1
DC-05,SKU-012,antiviral,131,1,132,90.71,0.717,65.05,2.7102,32,2.029,2.03,2,0,0,18,130.09,1.91,36.9,1
DC-03,SKU-011,cardiac,27,0,27,82.95,1.001,83.05,3.4606,41,0.325,0.33,6,1,10,12,166.11,-139.11,0.0,1
DC-04,SKU-006,antibiotic,0,0,0,18.37,1.381,25.37,1.057,12,0.0,0.0,4,0,20,36,50.74,-50.74,0.0,1
DC-04,SKU-006,antibiotic,75,100,175,91.93,0.998,91.75,3.8231,45,1.907,1.91,2,0,16,24,183.51,-8.51,34.0,1
DC-04,SKU-011,cardiac,86,139,225,116.28,0.767,89.18,3.7159,44,2.523,2.52,6,1,13,18,178.37,46.63,48.0,1
DC-05,SKU-012,antiviral,29,0,29,6.81,1.429,9.72,0.4051,4,2.982,2.98,0,0,11,12,19.45,9.55,48.0,0
DC-01,SKU-012,antiviral,34,0,34,10.51,1.124,11.81,0.4922,5,2.878,2.88,2,0,12,12,23.63,10.37,48.0,0
DC-02,SKU-014,antibiotic,505,223,728,117.04,1.25,146.26,6.0944,73,4.977,4.98,2,0,21,24,292.53,435.47,48.0,0
DC-04,SKU-009,antiviral,252,13,265,69.8,0.617,43.03,1.793,21,6.158,6.16,0,0,9,24,86.06,178.94,48.0,0
DC-01,SKU-002,reefer,27,11,38,65.51,1.394,91.33,3.8056,45,0.416,0.42,1,0,17,36,182.67,-144.67,0.0,0
DC-04,SKU-001,cardiac,95,82,177,114.33,0.712,81.38,3.3909,40,2.175,2.17,0,0,6,24,162.76,14.24,40.4,1
DC-04,SKU-008,antiviral,373,98,471,113.84,1.163,132.37,5.5154,66,3.558,3.56,3,0,5,36,264.74,206.26,48.0,0
DC-03,SKU-015,cardiac,288,0,288,64.59,1.258,81.28,3.3867,40,3.543,3.54,5,1,11,12,162.56,125.44,48.0,0
DC-05,SKU-003,antiviral,27,24,51,28.65,1.478,42.35,1.7646,21,1.204,1.2,2,0,11,24,84.7,-33.7,17.0,1
DC-05,SKU-008,antiviral,199,0,199,117.05,1.185,138.74,5.7808,69,1.434,1.43,2,0,21,6,277.48,-78.48,22.49,1
DC-04,SKU-001,cardiac,185,0,185,104.59,1.254,131.2,5.4667,65,1.41,1.41,3,0,19,18,262.4,-77.4,21.95,1
DC-03,SKU-009,antiviral,264,89,353,54.32,1.253,68.05,2.8352,34,5.188,5.19,1,0,3,18,136.09,216.91,48.0,0
DC-03,SKU-010,reefer,517,12,529,109.75,0.79,86.66,3.6106,43,6.105,6.1,3,0,15,24,173.31,355.69,48.0,0
DC-02,SKU-007,antiviral,234,4,238,51.32,0.662,33.99,1.4162,16,7.002,7.0,4,0,14,24,67.98,170.02,48.0,0
DC-04,SKU-002,reefer,16,0,16,14.15,1.187,16.79,0.6996,8,0.953,0.95,0,0,7,24,33.58,-17.58,11.44,1
DC-03,SKU-010,reefer,0,3,3,11.6,0.753,8.73,0.3638,4,0.344,0.34,5,1,8,18,17.46,-14.46,0.0,1
DC-03,SKU-012,antiviral,323,127,450,85.69,0.75,64.3,2.6791,32,6.999,7.0,3,0,23,24,128.6,321.4,48.0,0
DC-04,SKU-011,cardiac,69,0,69,16.09,0.843,13.56,0.5652,6,5.087,5.09,6,1,4,36,27.13,41.87,48.0,1
DC-03,SKU-006,antibiotic,67,9,76,24.06,0.68,16.35,0.6814,8,4.647,4.65,1,0,23,24,32.71,43.29,48.0,1
DC-01,SKU-002,reefer,135,0,135,116.85,1.122,131.12,5.4633,65,1.03,1.03,2,0,17,18,262.24,-127.24,12.81,1
DC-05,SKU-004,reefer,249,138,387,85.45,0.782,66.79,2.783,33,5.794,5.79,5,1,14,24,133.58,253.42,48.0,0
DC-02,SKU-011,cardiac,126,134,260,82.94,1.047,86.88,3.6198,43,2.993,2.99,0,0,11,12,173.75,86.25,48.0,0
DC-04,SKU-001,cardiac,238,25,263,73.27,1.447,106.01,4.417,53,2.481,2.48,1,0,17,24,212.02,50.98,47.54,1
DC-01,SKU-009,antiviral,475,0,475,119.22,1.277,152.27,6.3444,76,3.12,3.12,6,1,8,12,304.53,170.47,48.0,0
DC-04,SKU-006,antibiotic,106,20,126,54.27,1.411,76.58,3.1909,38,1.645,1.65,5,1,21,24,153.16,-27.16,27.58,1
DC-01,SKU-012,antiviral,269,47,316,74.35,1.107,82.31,3.4297,41,3.839,3.84,0,0,16,18,164.63,151.37,48.0,0
DC-02,SKU-011,cardiac,108,117,225,73.6,1.201,88.43,3.6844,44,2.544,2.54,1,0,5,36,176.85,48.15,48.0,0
DC-01,SKU-012,antiviral,120,0,120,20.43,1.074,21.94,0.9143,10,5.469,5.47,3,0,14,18,43.89,76.11,48.0,0
DC-02,SKU-012,antiviral,417,0,417,114.8,0.616,70.76,2.9484,35,5.893,5.89,2,0,18,6,141.52,275.48,48.0,0
DC-03,SKU-002,reefer,65,19,84,22.46,1.156,25.96,1.0815,12,3.236,3.24,4,0,14,18,51.91,32.09,48.0,0
DC-02,SKU-004,reefer,79,111,190,86.96,0.96,83.48,3.4782,41,2.276,2.28,6,1,6,12,166.95,23.05,42.84,1
DC-05,SKU-010,reefer,286,0,286,110.38,0.982,108.4,4.5166,54,2.638,2.64,5,1,0,18,216.8,69.2,48.0,0
DC-03,SKU-013,reefer,152,0,152,73.39,1.337,98.14,4.0892,49,1.549,1.55,1,0,23,18,196.28,-44.28,25.19,1
DC-01,SKU-010,reefer,102,50,152,32.91,0.872,28.69,1.1955,14,5.297,5.3,6,1,9,36,57.39,94.61,48.0,0
DC-02,SKU-001,cardiac,171,32,203,52.6,0.738,38.8,1.6168,19,5.232,5.23,5,1,15,18,77.61,125.39,48.0,0
DC-03,SKU-010,reefer,64,0,64,33.06,1.169,38.64,1.6098,19,1.657,1.66,0,0,1,12,77.27,-13.27,27.95,1
DC-02,SKU-003,antiviral,222,18,240,54.8,1.001,54.86,2.286,27,4.374,4.37,6,1,12,6,109.73,130.27,48.0,0
DC-01,SKU-004,reefer,43,0,43,25.45,0.891,22.68,0.9448,11,1.896,1.9,0,0,6,6,45.35,-2.35,33.87,1
DC-02,SKU-012,antiviral,391,58,449,96.64,0.81,78.31,3.263,39,5.733,5.73,4,0,2,12,156.63,292.37,48.0,0
DC-04,SKU-002,reefer,121,14,135,45.46,1.496,68.01,2.8338,34,1.985,1.98,5,1,11,6,136.02,-1.02,35.64,1
DC-05,SKU-015,cardiac,15,0,15,91.32,0.753,68.8,2.8667,34,0.218,0.22,3,0,7,24,137.6,-122.6,0.0,1
DC-05,SKU-007,antiviral,0,104,104,49.72,0.737,36.65,1.5272,18,2.837,2.84,3,0,0,36,73.3,30.7,48.0,0
DC-02,SKU-008,antiviral,297,2,299,91.37,0.715,65.32,2.7217,32,4.577,4.58,0,0,22,12,130.64,168.36,48.0,0
DC-05,SKU-002,reefer,379,0,379,112.62,1.098,123.71,5.1545,61,3.064,3.06,3,0,22,36,247.42,131.58,48.0,0
DC-03,SKU-006,antibiotic,117,6,123,61.14,1.493,91.29,3.8036,45,1.347,1.35,1,0,12,18,182.57,-59.57,20.51,1
DC-03,SKU-007,antiviral,123,5,128,38.65,0.673,26.0,1.0835,13,4.922,4.92,1,0,2,18,52.01,75.99,48.0,0
DC-02,SKU-009,antiviral,271,0,271,70.29,1.031,72.5,3.0209,36,3.738,3.74,5,1,13,12,145.01,125.99,48.0,0
DC-01,SKU-006,antibiotic,2,0,2,20.13,0.931,18.73,0.7805,9,0.107,0.11,1,0,3,12,37.47,-35.47,0.0,1
DC-04,SKU-012,antiviral,301,10,311,116.0,0.989,114.75,4.7814,57,2.71,2.71,5,1,10,24,229.51,81.49,48.0,0
DC-03,SKU-015,cardiac,0,0,0,10.18,1.303,13.26,0.5524,6,0.0,0.0,2,0,17,6,26.52,-26.52,0.0,1
DC-01,SKU-007,antiviral,60,0,60,30.98,0.728,22.56,0.9399,11,2.66,2.66,3,0,0,18,45.11,14.89,48.0,0
DC-01,SKU-005,reefer,107,44,151,74.98,0.876,65.66,2.7356,32,2.3,2.3,6,1,17,12,131.31,19.69,43.5,1
DC-05,SKU-003,antiviral,152,0,152,46.03,0.973,44.77,1.8655,22,3.395,3.39,1,0,20,6,89.54,62.46,48.0,0
DC-02,SKU-007,antiviral,69,0,69,19.04,1.082,20.6,0.8583,10,3.35,3.35,4,0,17,24,41.2,27.8,48.0,0
DC-05,SKU-013,reefer,29,1,30,7.99,0.934,7.46,0.311,3,4.02,4.02,4,0,3,36,14.93,15.07,48.0,0
DC-02,SKU-008,antiviral,52,39,91,97.85,1.153,112.79,4.6996,56,0.807,0.81,1,0,12,12,225.58,-134.58,7.45,1
DC-01,SKU-009,antiviral,293,0,293,83.51,0.994,83.0,3.4582,41,3.53,3.53,3,0,7,18,166.0,127.0,48.0,0
DC-02,SKU-008,antiviral,190,5,195,107.73,1.173,126.37,5.2653,63,1.543,1.54,4,0,18,12,252.73,-57.73,25.07,1
DC-05,SKU-008,antiviral,15,0,15,7.88,0.676,5.33,0.2219,2,2.816,2.82,0,0,4,18,10.65,4.35,48.0,0
DC-04,SKU-011,cardiac,323,40,363,116.58,1.448,168.81,7.0339,84,2.15,2.15,1,0,4,18,337.63,25.37,39.66,1
DC-02,SKU-006,antibiotic,34,0,34,12.67,1.063,13.47,0.5611,6,2.525,2.52,0,0,1,24,26.93,7.07,48.0,1
DC-04,SKU-014,antibiotic,96,17,113,33.5,0.662,22.19,0.9246,11,5.092,5.09,6,1,17,18,44.38,68.62,48.0,0
