manifest_line_id,sku_id,category,reefer_required,manifest_quantity,warehouse_stock,avg_daily_wh_outflow,wh_days_of_cover,eta_delay_hours,num_dcs_requesting,max_m2_urgency,total_m2_requested_qty,m2_fulfillment_ratio
ML-A6F42D49,SKU-003,antiviral,0,156,464,48.62,9.54,0,134,100.0,23101,0.007
ML-BE545FA2,SKU-015,cardiac,0,10,425,33.24,12.79,0,152,100.0,27958,0.0
ML-279B5A0F,SKU-012,antiviral,0,339,356,47.77,7.45,0,151,100.0,26848,0.013
ML-284DE3CB,SKU-008,antiviral,0,131,84,13.47,6.24,0,154,100.0,30751,0.004
ML-CE4E6E8F,SKU-012,antiviral,0,366,506,48.85,10.36,0,151,100.0,26848,0.014
ML-89680CA7,SKU-001,cardiac,0,221,2,32.13,0.06,69,160,100.0,29220,0.008
ML-44A1F223,SKU-015,cardiac,0,418,295,23.82,12.38,0,152,100.0,27958,0.015
ML-19CEC25B,SKU-007,antiviral,0,298,552,39.99,13.8,0,145,100.0,27447,0.011
ML-336D7CEE,SKU-010,reefer,1,72,200,22.68,8.82,0,150,100.0,29266,0.002
ML-AA5C16E2,SKU-009,antiviral,0,108,6,11.02,0.54,69,134,100.0,25002,0.004
ML-E14DD1A1,SKU-015,cardiac,0,142,559,49.85,11.21,17,152,100.0,27958,0.005
ML-AC53575C,SKU-005,reefer,1,87,3,14.23,0.21,0,146,100.0,28436,0.003
ML-B7911B7E,SKU-001,cardiac,0,497,110,32.82,3.35,0,160,100.0,29220,0.017
ML-9C3E9EB6,SKU-002,reefer,1,447,486,39.75,12.23,0,127,100.0,21690,0.021
ML-0C2116D1,SKU-005,reefer,1,487,160,44.45,3.6,0,146,100.0,28436,0.017
ML-6B708F1C,SKU-015,cardiac,0,238,149,32.91,4.53,0,152,100.0,27958,0.009
ML-30D5CF2E,SKU-012,antiviral,0,235,139,20.78,6.69,0,151,100.0,26848,0.009
ML-57289D74,SKU-015,cardiac,0,491,235,20.67,11.37,0,152,100.0,27958,0.018
ML-9B561DCD,SKU-007,antiviral,0,115,164,43.81,3.74,17,145,100.0,27447,0.004
ML-C7758014,SKU-012,antiviral,0,349,203,25.66,7.91,0,151,100.0,26848,0.013
ML-4B64B8EF,SKU-011,cardiac,0,52,8,15.81,0.51,0,145,100.0,27087,0.002
ML-5438D52B,SKU-015,cardiac,0,468,47,11.25,4.18,0,152,100.0,27958,0.017
ML-8427D130,SKU-003,antiviral,0,361,107,26.33,4.06,0,134,100.0,23101,0.016
ML-7391CCD4,SKU-003,antiviral,0,286,5,12.6,0.4,0,134,100.0,23101,0.012
ML-AE9CF982,SKU-001,cardiac,0,142,1,25.74,0.04,0,160,100.0,29220,0.005
ML-B6B8987A,SKU-010,reefer,1,310,8,19.47,0.41,0,150,100.0,29266,0.011
ML-35A46E86,SKU-008,antiviral,0,359,24,12.06,1.99,8,154,100.0,30751,0.012
ML-668E15B7,SKU-001,cardiac,0,364,7,13.3,0.53,0,160,100.0,29220,0.012
ML-C7A5988A,SKU-010,reefer,1,37,236,21.6,10.93,0,150,100.0,29266,0.001
ML-D77C945C,SKU-008,antiviral,0,380,302,37.1,8.14,0,154,100.0,30751,0.012
ML-4911A2CF,SKU-013,reefer,1,283,123,25.13,4.89,0,145,100.0,27420,0.01
ML-3B64F94E,SKU-005,reefer,1,37,26,5.9,4.4,0,146,100.0,28436,0.001
ML-95EEDF19,SKU-012,antiviral,0,34,457,45.07,10.14,18,151,100.0,26848,0.001
ML-5D1FA079,SKU-015,cardiac,0,237,319,29.17,10.94,0,152,100.0,27958,0.008
ML-152EB899,SKU-003,antiviral,0,51,173,17.77,9.74,0,134,100.0,23101,0.002
ML-C7AE99DA,SKU-008,antiviral,0,324,239,49.39,4.84,0,154,100.0,30751,0.011
ML-44F9BFEF,SKU-006,antibiotic,0,79,7,16.07,0.44,3,151,100.0,29961,0.003
ML-AC523A8F,SKU-003,antiviral,0,40,78,23.47,3.32,0,134,100.0,23101,0.002
ML-8DA95012,SKU-012,antiviral,0,84,223,43.95,5.07,0,151,100.0,26848,0.003
ML-7B50172E,SKU-003,antiviral,0,71,414,46.82,8.84,0,134,100.0,23101,0.003
ML-222E0306,SKU-012,antiviral,0,142,95,13.42,7.08,0,151,100.0,26848,0.005
ML-24D7DEC3,SKU-001,cardiac,0,149,55,10.17,5.41,0,160,100.0,29220,0.005
ML-E48F42C6,SKU-011,cardiac,0,365,124,19.43,6.38,0,145,100.0,27087,0.013
ML-572C7716,SKU-005,reefer,1,416,7,29.7,0.24,65,146,100.0,28436,0.015
ML-DDB289EB,SKU-015,cardiac,0,110,7,5.12,1.37,0,152,100.0,27958,0.004
ML-8106F6A3,SKU-003,antiviral,0,103,107,9.8,10.92,0,134,100.0,23101,0.004
ML-05726DBD,SKU-005,reefer,1,385,2,49.59,0.04,0,146,100.0,28436,0.014
ML-8867F3C5,SKU-008,antiviral,0,329,113,30.85,3.66,14,154,100.0,30751,0.011
ML-77C368AF,SKU-012,antiviral,0,295,2,42.13,0.05,0,151,100.0,26848,0.011
ML-A1858082,SKU-010,reefer,1,71,141,21.15,6.67,39,150,100.0,29266,0.002
ML-7D0533CA,SKU-008,antiviral,0,23,385,45.49,8.46,0,154,100.0,30751,0.001
ML-2E3BA967,SKU-001,cardiac,0,162,175,20.99,8.34,0,160,100.0,29220,0.006
ML-F94A2991,SKU-008,antiviral,0,444,176,29.43,5.98,42,154,100.0,30751,0.014
ML-3B24F8F5,SKU-004,reefer,1,24,485,44.54,10.89,0,118,100.0,21357,0.001
ML-05D8A840,SKU-013,reefer,1,47,440,38.86,11.32,0,145,100.0,27420,0.002
ML-FE080946,SKU-004,reefer,1,95,410,37.13,11.04,0,118,100.0,21357,0.004
ML-F7BA4E2D,SKU-013,reefer,1,168,203,22.05,9.21,0,145,100.0,27420,0.006
ML-D6A48229,SKU-008,antiviral,0,270,302,26.89,11.23,0,154,100.0,30751,0.009
ML-2362465C,SKU-003,antiviral,0,252,279,30.45,9.16,38,134,100.0,23101,0.011
ML-10386AA4,SKU-006,antibiotic,0,209,9,24.06,0.37,0,151,100.0,29961,0.007
ML-2C1C6FDF,SKU-014,antibiotic,0,219,3,32.52,0.09,5,133,100.0,25421,0.009
ML-84A5ACDC,SKU-008,antiviral,0,302,9,36.83,0.24,0,154,100.0,30751,0.01
ML-25151819,SKU-003,antiviral,0,38,125,9.69,12.9,0,134,100.0,23101,0.002
ML-E0F1170B,SKU-005,reefer,1,414,6,12.45,0.48,63,146,100.0,28436,0.015
ML-87F81E65,SKU-006,antibiotic,0,64,99,15.23,6.5,52,151,100.0,29961,0.002
ML-D452FFA9,SKU-009,antiviral,0,126,3,32.17,0.09,0,134,100.0,25002,0.005
ML-7C126A98,SKU-011,cardiac,0,303,223,20.59,10.83,0,145,100.0,27087,0.011
ML-046888A3,SKU-011,cardiac,0,452,7,25.36,0.28,0,145,100.0,27087,0.017
ML-934E688F,SKU-004,reefer,1,207,74,6.52,11.34,0,118,100.0,21357,0.01
ML-2F47EB1C,SKU-010,reefer,1,165,199,14.57,13.66,0,150,100.0,29266,0.006
ML-46C5166A,SKU-004,reefer,1,127,184,43.73,4.21,0,118,100.0,21357,0.006
ML-BD0EA9F0,SKU-013,reefer,1,487,2,38.75,0.05,0,145,100.0,27420,0.018
ML-6325628C,SKU-014,antibiotic,0,294,398,33.12,12.02,0,133,100.0,25421,0.012
ML-DBC5E1AB,SKU-001,cardiac,0,87,312,37.13,8.4,0,160,100.0,29220,0.003
ML-4594CB2B,SKU-014,antibiotic,0,175,7,39.44,0.18,3,133,100.0,25421,0.007
ML-0892A600,SKU-010,reefer,1,467,526,45.38,11.59,32,150,100.0,29266,0.016
ML-6D51BCE9,SKU-002,reefer,1,400,6,34.65,0.17,0,127,100.0,21690,0.018
ML-E44A1047,SKU-007,antiviral,0,452,168,27.75,6.05,0,145,100.0,27447,0.016
ML-6E5859AD,SKU-003,antiviral,0,106,350,30.05,11.65,32,134,100.0,23101,0.005
ML-BA5B012C,SKU-008,antiviral,0,311,424,42.36,10.01,0,154,100.0,30751,0.01
ML-A98C9B33,SKU-015,cardiac,0,320,6,45.34,0.13,19,152,100.0,27958,0.011
ML-09791153,SKU-013,reefer,1,412,397,31.24,12.71,20,145,100.0,27420,0.015
ML-E620AB2C,SKU-011,cardiac,0,243,101,42.13,2.4,37,145,100.0,27087,0.009
ML-284E5E7D,SKU-006,antibiotic,0,265,165,29.84,5.53,24,151,100.0,29961,0.009
ML-4F5B77A0,SKU-001,cardiac,0,211,233,30.46,7.65,0,160,100.0,29220,0.007
ML-383DFB0A,SKU-002,reefer,1,124,291,28.06,10.37,0,127,100.0,21690,0.006
ML-1B6C7AFE,SKU-009,antiviral,0,255,122,34.03,3.59,37,134,100.0,25002,0.01
ML-5B26EEF4,SKU-011,cardiac,0,335,3,46.14,0.07,0,145,100.0,27087,0.012
ML-3018E718,SKU-002,reefer,1,26,247,23.24,10.63,0,127,100.0,21690,0.001
ML-3A2537B8,SKU-006,antibiotic,0,478,7,16.87,0.42,0,151,100.0,29961,0.016
ML-787DA2CA,SKU-013,reefer,1,318,90,12.89,6.98,0,145,100.0,27420,0.012
ML-83680850,SKU-010,reefer,1,55,0,7.11,0.0,0,150,100.0,29266,0.002
ML-C1F057B4,SKU-004,reefer,1,380,87,16.04,5.42,0,118,100.0,21357,0.018
ML-8A21EB5A,SKU-001,cardiac,0,196,141,18.37,7.68,0,160,100.0,29220,0.007
ML-D1E75CD1,SKU-006,antibiotic,0,415,3,37.97,0.08,0,151,100.0,29961,0.014
ML-14D2E3EA,SKU-003,antiviral,0,236,577,42.87,13.46,0,134,100.0,23101,0.01
ML-AEE029A2,SKU-009,antiviral,0,163,163,26.34,6.19,0,134,100.0,25002,0.007
ML-68C71FF4,SKU-013,reefer,1,436,92,31.92,2.88,0,145,100.0,27420,0.016
ML-EB67B5AB,SKU-012,antiviral,0,181,2,48.55,0.04,0,151,100.0,26848,0.007
ML-B3007226,SKU-011,cardiac,0,314,82,11.16,7.35,0,145,100.0,27087,0.012
ML-76B97713,SKU-014,antibiotic,0,89,517,44.28,11.68,0,133,100.0,25421,0.004
ML-314B60AE,SKU-006,antibiotic,0,473,8,43.21,0.19,0,151,100.0,29961,0.016
ML-569FAE0A,SKU-011,cardiac,0,419,18,7.32,2.46,0,145,100.0,27087,0.015
ML-C989ACCE,SKU-001,cardiac,0,416,172,30.01,5.73,0,160,100.0,29220,0.014
ML-387A5DD1,SKU-007,antiviral,0,146,6,13.67,0.44,39,145,100.0,27447,0.005
ML-B9FB48B5,SKU-003,antiviral,0,411,279,28.51,9.79,0,134,100.0,23101,0.018
ML-9545B91C,SKU-012,antiviral,0,197,222,26.65,8.33,0,151,100.0,26848,0.007
ML-AA80D768,SKU-007,antiviral,0,373,260,30.76,8.45,0,145,100.0,27447,0.014
ML-0A9922BB,SKU-013,reefer,1,219,355,28.41,12.5,0,145,100.0,27420,0.008
ML-2D2760FB,SKU-003,antiviral,0,179,1,49.57,0.02,39,134,100.0,23101,0.008
ML-696278B3,SKU-014,antibiotic,0,38,306,39.52,7.74,0,133,100.0,25421,0.001
ML-E6F69F4C,SKU-008,antiviral,0,245,345,49.28,7.0,0,154,100.0,30751,0.008
ML-E8ACC742,SKU-005,reefer,1,74,7,15.74,0.44,0,146,100.0,28436,0.003
ML-5F2619B7,SKU-004,reefer,1,155,0,15.51,0.0,15,118,100.0,21357,0.007
ML-BF363F22,SKU-001,cardiac,0,386,9,35.58,0.25,43,160,100.0,29220,0.013
ML-8443C3C2,SKU-012,antiviral,0,207,453,49.2,9.21,25,151,100.0,26848,0.008
ML-0B41306D,SKU-007,antiviral,0,61,95,7.92,11.99,0,145,100.0,27447,0.002
ML-B85E916D,SKU-003,antiviral,0,375,9,15.38,0.59,0,134,100.0,23101,0.016
ML-7FB2C8FE,SKU-010,reefer,1,268,403,42.18,9.55,0,150,100.0,29266,0.009
ML-60C2BFB8,SKU-009,antiviral,0,108,163,31.88,5.11,0,134,100.0,25002,0.004
ML-1B20C4B3,SKU-002,reefer,1,71,376,49.84,7.54,0,127,100.0,21690,0.003
ML-4568EC09,SKU-013,reefer,1,98,98,31.68,3.09,67,145,100.0,27420,0.004
ML-BE6266D9,SKU-011,cardiac,0,485,1,26.45,0.04,9,145,100.0,27087,0.018
ML-C26BB77B,SKU-015,cardiac,0,49,252,46.92,5.37,0,152,100.0,27958,0.002
ML-BD8BC437,SKU-006,antibiotic,0,337,1,36.31,0.03,0,151,100.0,29961,0.011
ML-0FCC4310,SKU-012,antiviral,0,185,0,35.75,0.0,0,151,100.0,26848,0.007
ML-F53AD549,SKU-013,reefer,1,233,249,28.22,8.82,0,145,100.0,27420,0.008
ML-7E101371,SKU-008,antiviral,0,356,362,43.9,8.25,59,154,100.0,30751,0.012
ML-F931EDC0,SKU-011,cardiac,0,313,382,36.88,10.36,0,145,100.0,27087,0.012
ML-6B54400F,SKU-015,cardiac,0,164,9,38.87,0.23,0,152,100.0,27958,0.006
ML-54262883,SKU-015,cardiac,0,32,24,5.23,4.59,2,152,100.0,27958,0.001
ML-FA34F245,SKU-014,antibiotic,0,86,0,27.84,0.0,0,133,100.0,25421,0.003
ML-6463D305,SKU-008,antiviral,0,232,2,21.95,0.09,0,154,100.0,30751,0.008
ML-1BB13F43,SKU-003,antiviral,0,423,70,5.83,12.01,0,134,100.0,23101,0.018
ML-7EE76D9D,SKU-015,cardiac,0,231,158,38.92,4.06,68,152,100.0,27958,0.008
ML-263CAB96,SKU-011,cardiac,0,201,9,36.87,0.24,0,145,100.0,27087,0.007
ML-8CA10D8C,SKU-006,antibiotic,0,483,116,8.36,13.87,0,151,100.0,29961,0.016
ML-8B1CA436,SKU-012,antiviral,0,173,225,34.14,6.59,0,151,100.0,26848,0.006
ML-75528C8B,SKU-001,cardiac,0,143,109,21.73,5.02,0,160,100.0,29220,0.005
ML-6DE34C46,SKU-002,reefer,1,439,84,26.08,3.22,15,127,100.0,21690,0.02
ML-0CC2F078,SKU-007,antiviral,0,294,1,36.22,0.03,22,145,100.0,27447,0.011
ML-F474E1E0,SKU-011,cardiac,0,36,104,44.06,2.36,47,145,100.0,27087,0.001
ML-07908415,SKU-005,reefer,1,452,353,48.4,7.29,0,146,100.0,28436,0.016
ML-AD81B19E,SKU-010,reefer,1,389,165,37.6,4.39,24,150,100.0,29266,0.013
ML-C6865C0B,SKU-012,antiviral,0,283,597,43.9,13.6,0,151,100.0,26848,0.011
ML-5754DECC,SKU-001,cardiac,0,102,484,39.95,12.12,3,160,100.0,29220,0.003
ML-FB4EC1E3,SKU-013,reefer,1,457,248,18.24,13.6,0,145,100.0,27420,0.017
ML-AB8F3493,SKU-015,cardiac,0,162,46,5.06,9.1,0,152,100.0,27958,0.006
ML-D554A47D,SKU-009,antiviral,0,175,5,15.15,0.33,0,134,100.0,25002,0.007
ML-346482BF,SKU-005,reefer,1,395,305,40.89,7.46,0,146,100.0,28436,0.014
ML-C09FCFAF,SKU-002,reefer,1,487,208,22.66,9.18,0,127,100.0,21690,0.022
ML-F20C27C8,SKU-013,reefer,1,226,108,43.71,2.47,0,145,100.0,27420,0.008
ML-9D00EEA2,SKU-008,antiviral,0,50,58,15.89,3.65,0,154,100.0,30751,0.002
ML-24129D15,SKU-006,antibiotic,0,101,77,36.61,2.1,0,151,100.0,29961,0.003
ML-A68DF423,SKU-002,reefer,1,234,21,8.95,2.35,0,127,100.0,21690,0.011
ML-C1B39B6D,SKU-006,antibiotic,0,112,112,10.97,10.21,44,151,100.0,29961,0.004
ML-22C224DC,SKU-001,cardiac,0,369,80,33.64,2.38,32,160,100.0,29220,0.013
ML-AC4EA7B1,SKU-009,antiviral,0,379,447,47.08,9.49,7,134,100.0,25002,0.015
ML-1DA4CF8F,SKU-011,cardiac,0,93,340,29.89,11.38,0,145,100.0,27087,0.003
ML-6DC0F1F0,SKU-015,cardiac,0,306,132,12.38,10.66,0,152,100.0,27958,0.011
ML-A620FBA2,SKU-012,antiviral,0,406,158,26.57,5.95,0,151,100.0,26848,0.015
ML-921710CA,SKU-013,reefer,1,401,111,44.23,2.51,0,145,100.0,27420,0.015
ML-45E0C146,SKU-006,antibiotic,0,411,292,34.4,8.49,0,151,100.0,29961,0.014
ML-D4D71FDF,SKU-012,antiviral,0,211,5,23.15,0.22,0,151,100.0,26848,0.008
ML-705B3DEF,SKU-001,cardiac,0,400,276,25.82,10.69,20,160,100.0,29220,0.014
ML-220BAF86,SKU-005,reefer,1,13,306,38.09,8.03,0,146,100.0,28436,0.0
ML-1A0EDF5F,SKU-003,antiviral,0,105,1,31.46,0.03,0,134,100.0,23101,0.005
ML-A927443E,SKU-002,reefer,1,344,242,45.53,5.31,0,127,100.0,21690,0.016
ML-CCB56C1B,SKU-006,antibiotic,0,134,138,14.48,9.53,26,151,100.0,29961,0.004
ML-F22FEC38,SKU-008,antiviral,0,109,1,45.91,0.02,0,154,100.0,30751,0.004
ML-80B9E49B,SKU-005,reefer,1,431,7,27.15,0.26,0,146,100.0,28436,0.015
ML-589DF229,SKU-004,reefer,1,139,53,9.29,5.71,0,118,100.0,21357,0.007
ML-747EF8BF,SKU-003,antiviral,0,238,49,5.41,9.06,0,134,100.0,23101,0.01
ML-C5E581B1,SKU-007,antiviral,0,312,113,15.56,7.26,0,145,100.0,27447,0.011
ML-80A68D6E,SKU-013,reefer,1,275,4,35.12,0.11,0,145,100.0,27420,0.01
ML-1753DD06,SKU-011,cardiac,0,469,3,36.8,0.08,0,145,100.0,27087,0.017
ML-D5BB8BA9,SKU-011,cardiac,0,430,239,21.05,11.35,56,145,100.0,27087,0.016
ML-E67601BA,SKU-012,antiviral,0,376,3,44.07,0.07,0,151,100.0,26848,0.014
ML-DAFCB784,SKU-002,reefer,1,466,71,28.9,2.46,0,127,100.0,21690,0.021
ML-7B3D50C6,SKU-006,antibiotic,0,494,380,47.02,8.08,0,151,100.0,29961,0.016
ML-EAF21119,SKU-010,reefer,1,285,101,49.4,2.04,50,150,100.0,29266,0.01
ML-C5BC922E,SKU-013,reefer,1,194,1,31.11,0.03,0,145,100.0,27420,0.007
ML-7804BD52,SKU-006,antibiotic,0,349,3,10.66,0.28,8,151,100.0,29961,0.012
ML-0A248C64,SKU-002,reefer,1,350,67,9.23,7.26,47,127,100.0,21690,0.016
ML-E59B297C,SKU-002,reefer,1,202,435,42.72,10.18,0,127,100.0,21690,0.009
ML-92339D34,SKU-001,cardiac,0,35,104,44.1,2.36,46,160,100.0,29220,0.001
ML-41556491,SKU-004,reefer,1,298,381,32.03,11.9,0,118,100.0,21357,0.014
ML-D88390B2,SKU-009,antiviral,0,99,5,20.69,0.24,0,134,100.0,25002,0.004
ML-9A7B8143,SKU-001,cardiac,0,178,153,49.7,3.08,0,160,100.0,29220,0.006
