dc_id,sku_id,category,urgency_score,shortage_probability,hours_until_shortage,requested_quantity,effective_stock,projected_48h_sales,safety_stock
DC-03,SKU-005,reefer,100.0,0.99590766,0.011181142,404,48,217.224,54
DC-04,SKU-005,reefer,100.0,0.9956174,0.0,69,9,37.944,9
DC-02,SKU-009,antiviral,100.0,0.9954112,0.0,28,1,15.5136,3
DC-02,SKU-013,reefer,100.0,0.9953644,0.0,459,0,223.03680000000003,55
DC-05,SKU-008,antiviral,100.0,0.9953328,0.0017970381,485,58,278.808,69
DC-05,SKU-009,antiviral,100.0,0.9952429,0.0010684729,444,0,208.91520000000003,52
DC-04,SKU-006,antibiotic,100.0,0.9951492,0.0075390283,88,9,47.0928,11
DC-01,SKU-009,antiviral,100.0,0.9951315,0.0,62,0,30.268800000000002,7
DC-02,SKU-003,antiviral,100.0,0.9950959,0.0,22,1,11.064,2
DC-05,SKU-012,antiviral,100.0,0.9950506,0.004213933,399,8,140.328,35
DC-02,SKU-013,reefer,100.0,0.994955,0.0,247,0,96.98400000000001,24
DC-01,SKU-001,cardiac,100.0,0.99490815,0.0,434,9,230.86079999999998,57
DC-05,SKU-013,reefer,100.0,0.9948249,0.0,323,11,165.72,41
DC-01,SKU-009,antiviral,100.0,0.994669,0.0,170,0,75.37440000000001,18
DC-01,SKU-002,reefer,100.0,0.9944436,0.0,308,0,133.4736,33
DC-04,SKU-001,cardiac,100.0,0.9944155,0.0,38,2,20.044800000000002,5
DC-04,SKU-008,antiviral,100.0,0.9943838,0.020410888,281,22,152.3856,38
DC-03,SKU-005,reefer,100.0,0.9942516,0.0,494,0,236.76959999999997,59
DC-02,SKU-002,reefer,100.0,0.99415344,0.0,75,0,32.6736,8
DC-05,SKU-003,antiviral,100.0,0.9941393,0.012937508,348,10,178.2528,44
DC-05,SKU-010,reefer,100.0,0.99409735,0.0,132,12,50.7072,12
DC-02,SKU-006,antibiotic,100.0,0.993958,0.015652278,528,36,270.7104,67
DC-03,SKU-013,reefer,100.0,0.99392587,0.006228489,253,0,106.4976,26
DC-03,SKU-014,antibiotic,100.0,0.99379396,0.020073116,60,3,31.8528,7
DC-03,SKU-002,reefer,100.0,0.9936259,0.0,253,0,109.6224,27
DC-02,SKU-005,reefer,100.0,0.9935371,0.016465236,168,0,70.49759999999999,17
DC-04,SKU-010,reefer,100.0,0.993519,0.0,50,2,20.1552,5
DC-01,SKU-011,cardiac,100.0,0.99344844,0.0,48,3,20.0304,5
DC-05,SKU-010,reefer,100.0,0.993437,0.02090158,444,16,221.0832,55
DC-03,SKU-001,cardiac,100.0,0.9933153,0.000775229,183,1,81.3408,20
DC-02,SKU-012,antiviral,100.0,0.993309,0.002105645,15,0,7.3584,1
DC-01,SKU-012,antiviral,100.0,0.99329233,0.0,243,0,90.2256,22
DC-05,SKU-006,antibiotic,100.0,0.9931826,0.0,523,38,267.2352,66
DC-01,SKU-002,reefer,100.0,0.9931445,0.0,474,0,214.9488,53
DC-03,SKU-010,reefer,100.0,0.99305844,0.0,41,3,17.462400000000002,4
DC-05,SKU-009,antiviral,100.0,0.99293786,0.0,396,43,215.79840000000002,53
DC-02,SKU-006,antibiotic,100.0,0.99287355,0.0,481,26,245.0256,61
DC-01,SKU-004,reefer,100.0,0.9927884,0.0075400975,321,12,121.992,30
DC-05,SKU-006,antibiotic,100.0,0.9925527,0.023311334,551,0,286.6896,71
DC-04,SKU-002,reefer,100.0,0.9924494,0.0,309,36,163.5264,40
DC-01,SKU-005,reefer,100.0,0.9922501,0.0,450,18,211.60320000000002,52
DC-05,SKU-012,antiviral,100.0,0.99223256,0.0,69,4,26.385599999999997,6
DC-03,SKU-011,cardiac,100.0,0.9922152,0.0,346,27,166.1088,41
DC-04,SKU-006,antibiotic,100.0,0.99216896,0.0,99,0,50.736,12
DC-03,SKU-004,reefer,100.0,0.99213845,0.0,100,0,39.504,9
DC-01,SKU-006,antibiotic,100.0,0.99201775,0.0088948235,72,1,37.9056,9
DC-05,SKU-007,antiviral,100.0,0.9917965,0.0,464,33,224.784,56
DC-01,SKU-006,antibiotic,100.0,0.99168617,0.0,50,0,25.180799999999998,6
DC-04,SKU-004,reefer,100.0,0.99159735,0.006517428,419,0,152.9808,38
DC-02,SKU-006,antibiotic,100.0,0.99155915,0.0,603,75,352.7088,88
DC-05,SKU-006,antibiotic,100.0,0.99154437,0.0130963335,252,27,126.72,31
DC-03,SKU-006,antibiotic,100.0,0.9915386,0.0,528,0,270.3696,67
DC-01,SKU-002,reefer,100.0,0.9915148,0.0012792309,360,0,147.28799999999998,36
DC-01,SKU-010,reefer,100.0,0.9914682,0.0053028334,476,0,216.86879999999996,54
DC-04,SKU-011,cardiac,100.0,0.9914247,0.0,71,1,26.6208,6
DC-02,SKU-005,reefer,100.0,0.99134666,0.0,191,0,73.6032,18
DC-04,SKU-005,reefer,100.0,0.9912396,0.0,351,0,175.4304,43
DC-05,SKU-007,antiviral,100.0,0.9912116,0.0,243,0,105.2688,26
DC-01,SKU-006,antibiotic,100.0,0.99110794,0.0,283,22,148.776,37
DC-05,SKU-006,antibiotic,100.0,0.99078965,0.0,605,0,305.4192,76
DC-04,SKU-001,cardiac,100.0,0.9907222,0.0,502,0,250.0704,62
DC-02,SKU-012,antiviral,100.0,0.9906427,0.0,477,17,255.20639999999997,63
DC-02,SKU-007,antiviral,100.0,0.9906193,0.005691302,204,3,86.2464,21
DC-01,SKU-008,antiviral,100.0,0.9905605,0.0047855983,257,0,90.7056,22
DC-04,SKU-015,cardiac,100.0,0.9905566,0.0,24,2,11.121599999999999,2
DC-05,SKU-004,reefer,100.0,0.99033386,0.0,325,32,174.88320000000002,43
DC-04,SKU-012,antiviral,100.0,0.99015605,0.020902151,398,0,163.7184,40
DC-02,SKU-004,reefer,100.0,0.99010825,0.0,17,2,10.3488,2
DC-01,SKU-011,cardiac,100.0,0.99005705,0.0,295,26,164.6736,41
DC-05,SKU-007,antiviral,100.0,0.98964965,2.8644274e-05,391,29,202.18080000000003,50
DC-01,SKU-011,cardiac,100.0,0.98959994,0.0,316,11,131.4048,32
DC-03,SKU-011,cardiac,100.0,0.9895795,0.0058939187,392,21,187.5984,46
DC-04,SKU-001,cardiac,100.0,0.9895335,0.019024298,37,1,17.4576,4
DC-02,SKU-005,reefer,100.0,0.98947304,0.013120024,323,30,146.05440000000002,36
DC-05,SKU-005,reefer,100.0,0.98921305,0.0,14,1,7.7184,1
DC-01,SKU-006,antibiotic,100.0,0.98906356,0.007996047,84,2,37.464,9
DC-02,SKU-005,reefer,100.0,0.98904955,0.0078737745,504,11,256.57439999999997,64
DC-04,SKU-005,reefer,100.0,0.98903835,0.0,217,0,80.47200000000001,20
DC-05,SKU-012,antiviral,100.0,0.9890258,0.0,437,0,219.552,54
DC-05,SKU-001,cardiac,100.0,0.9888791,0.0,96,0,40.5216,10
DC-03,SKU-011,cardiac,100.0,0.9888381,0.014475084,87,9,47.193599999999996,11
DC-02,SKU-009,antiviral,100.0,0.9883046,0.013763262,82,0,30.854400000000002,7
DC-02,SKU-012,antiviral,100.0,0.9880328,0.0,331,0,117.68639999999999,29
DC-05,SKU-005,reefer,100.0,0.9878368,0.0,296,24,154.7472,38
DC-02,SKU-004,reefer,100.0,0.98757577,0.0011382223,514,37,284.1456,71
DC-05,SKU-001,cardiac,100.0,0.9875493,0.017411532,408,23,222.1872,55
DC-02,SKU-007,antiviral,100.0,0.98750675,0.01303923,311,24,154.5456,38
DC-05,SKU-010,reefer,100.0,0.987402,0.012652355,256,17,111.7056,27
DC-05,SKU-015,cardiac,100.0,0.987053,0.022919158,318,0,126.5664,31
DC-01,SKU-015,cardiac,100.0,0.98644584,0.0,288,24,158.23680000000002,39
DC-03,SKU-013,reefer,100.0,0.9860634,0.0,358,30,184.4736,46
DC-05,SKU-007,antiviral,100.0,0.9853182,0.0,19,2,9.3024,2
DC-01,SKU-005,reefer,100.0,0.98520917,0.0,373,25,196.78560000000002,49
DC-05,SKU-007,antiviral,100.0,0.9844274,0.0,182,2,74.3664,18
DC-02,SKU-003,antiviral,100.0,0.98429245,0.010616613,256,0,103.71359999999999,25
DC-03,SKU-014,antibiotic,100.0,0.9841112,0.002467988,244,0,84.2832,21
DC-03,SKU-002,reefer,100.0,0.98389536,0.0,397,32,159.624,39
DC-05,SKU-015,cardiac,100.0,0.9838806,0.0,211,0,76.3776,19
DC-01,SKU-003,antiviral,100.0,0.98384595,0.0,260,23,143.8608,35
DC-01,SKU-010,reefer,100.0,0.9833987,0.0016586671,603,52,332.67359999999996,83
DC-01,SKU-011,cardiac,100.0,0.98324823,0.0,255,27,126.66239999999999,31
DC-05,SKU-004,reefer,100.0,0.98173404,0.0,462,0,187.3104,46
DC-04,SKU-001,cardiac,100.0,0.9815803,0.0,388,38,215.1024,53
DC-02,SKU-011,cardiac,100.0,0.9815763,0.0048883315,76,3,40.632000000000005,10
DC-04,SKU-006,antibiotic,100.0,0.9807756,0.0,284,20,111.0576,27
DC-03,SKU-001,cardiac,100.0,0.98054767,0.0,368,47,195.6528,48
DC-01,SKU-015,cardiac,100.0,0.98027015,0.0,435,0,181.3296,45
DC-05,SKU-002,reefer,100.0,0.9788278,0.0040574213,143,0,54.4032,13
DC-05,SKU-004,reefer,100.0,0.9778146,0.0070120106,91,0,37.367999999999995,9
DC-01,SKU-013,reefer,100.0,0.97678626,0.018166656,25,2,10.9488,2
DC-02,SKU-002,reefer,100.0,0.9767122,0.0,353,46,201.93599999999998,50
DC-01,SKU-012,antiviral,100.0,0.9764637,0.0,356,0,180.7776,45
DC-04,SKU-001,cardiac,100.0,0.9752432,0.009142224,456,0,206.3952,51
DC-05,SKU-010,reefer,100.0,0.97517735,0.0,465,3,188.184,47
DC-02,SKU-009,antiviral,100.0,0.97510344,0.007418162,170,0,67.0464,16
DC-03,SKU-012,antiviral,100.0,0.9724442,0.0,352,24,135.8544,33
DC-02,SKU-001,cardiac,100.0,0.96770805,0.00019968548,477,39,234.408,58
DC-05,SKU-007,antiviral,100.0,0.9671262,0.0,385,31,169.04160000000002,42
DC-05,SKU-005,reefer,100.0,0.96680754,0.0,293,5,142.6608,35
DC-04,SKU-004,reefer,100.0,0.9667627,0.0,392,36,195.1104,48
DC-01,SKU-009,antiviral,100.0,0.9657502,0.003949054,280,0,111.16799999999999,27
DC-02,SKU-007,antiviral,100.0,0.96210504,0.0,431,0,182.2752,45
DC-03,SKU-009,antiviral,100.0,0.9615386,0.0026846412,158,0,58.8576,14
DC-04,SKU-007,antiviral,100.0,0.9583944,0.0061840126,380,1,153.264,38
DC-03,SKU-010,reefer,100.0,0.95442885,0.0043475013,452,0,187.8384,46
DC-05,SKU-013,reefer,100.0,0.95401794,0.023486955,402,35,180.432,45
DC-05,SKU-008,antiviral,100.0,0.9467175,0.015240431,371,13,162.6192,40
DC-02,SKU-007,antiviral,100.0,0.9459456,0.0,412,0,171.4272,42
DC-01,SKU-008,antiviral,100.0,0.9392819,0.0,423,20,169.0992,42
DC-05,SKU-008,antiviral,100.0,0.9343141,0.0,400,2,158.6448,39
DC-03,SKU-009,antiviral,100.0,0.9045224,0.008434622,177,0,69.12,17
DC-04,SKU-011,cardiac,100.0,0.8472976,0.019390117,393,31,165.8592,41
DC-01,SKU-007,antiviral,100.0,0.69557756,0.0,399,21,159.3936,39
DC-02,SKU-007,antiviral,100.0,0.69328773,0.016391963,97,0,38.76,9
DC-01,SKU-011,cardiac,99.9,0.99952555,0.032418,208,8,107.5056,26
DC-05,SKU-015,cardiac,99.9,0.998679,0.041710444,400,18,210.16320000000002,52
DC-03,SKU-011,cardiac,99.9,0.99851936,0.03303077,216,15,97.2336,24
DC-02,SKU-007,antiviral,99.9,0.9979875,0.056665886,406,46,232.776,58
DC-01,SKU-001,cardiac,99.9,0.9974591,0.028774843,83,1,30.556800000000003,7
DC-03,SKU-003,antiviral,99.9,0.99740523,0.060269948,96,12,55.3968,13
DC-01,SKU-008,antiviral,99.9,0.9971132,0.024148656,160,11,78.4992,19
DC-01,SKU-009,antiviral,99.9,0.9970284,0.027499389,277,34,142.4928,35
DC-02,SKU-008,antiviral,99.9,0.9968766,0.024079151,533,35,286.1568,71
DC-02,SKU-001,cardiac,99.9,0.99613106,0.02741637,367,12,167.9904,41
DC-04,SKU-013,reefer,99.9,0.99566627,0.03298748,431,0,210.35519999999997,52
DC-02,SKU-008,antiviral,99.9,0.994965,0.03895554,38,1,18.072,4
DC-02,SKU-005,reefer,99.9,0.99480766,0.04467257,338,13,154.5696,38
DC-01,SKU-010,reefer,99.9,0.99460804,0.024260432,16,0,7.8671999999999995,1
DC-05,SKU-009,antiviral,99.9,0.9943615,0.048911296,127,8,61.70400000000001,15
DC-01,SKU-009,antiviral,99.9,0.99389875,0.059028808,66,5,31.425599999999996,7
DC-05,SKU-012,antiviral,99.9,0.9935828,0.031159976,57,3,31.0368,7
DC-03,SKU-011,cardiac,99.9,0.9934036,0.04105423,603,1,311.0736,77
DC-05,SKU-001,cardiac,99.9,0.9911175,0.028301371,437,55,228.4848,57
DC-02,SKU-002,reefer,99.9,0.9880827,0.030476484,289,32,154.0368,38
DC-03,SKU-002,reefer,99.9,0.98217887,0.06686888,497,66,291.4896,72
DC-02,SKU-012,antiviral,99.9,0.9802107,0.039860655,101,0,42.744,10
DC-03,SKU-006,antibiotic,99.9,0.9797401,0.04938393,14,0,6.2208,1
DC-04,SKU-015,cardiac,99.9,0.97837985,0.07140906,420,45,187.0608,46
DC-01,SKU-012,antiviral,99.9,0.97581017,0.03678876,332,12,142.11360000000002,35
DC-02,SKU-003,antiviral,99.9,0.9748616,0.03154699,150,3,59.568000000000005,14
DC-02,SKU-012,antiviral,99.9,0.92289776,0.02601097,111,10,42.696,10
DC-03,SKU-009,antiviral,99.8,0.99721104,0.094169974,315,37,155.376,38
DC-01,SKU-009,antiviral,99.8,0.9952389,0.09180921,186,22,91.6608,22
DC-03,SKU-003,antiviral,99.8,0.99437803,0.108053334,515,73,296.1072,74
DC-05,SKU-004,reefer,99.8,0.99175406,0.076537594,46,6,24.72,6
DC-04,SKU-006,antibiotic,99.8,0.9906184,0.10129007,355,46,186.7056,46
DC-05,SKU-003,antiviral,99.8,0.9437617,0.0887765,324,38,187.848,46
DC-01,SKU-001,cardiac,99.7,0.99912244,0.129707,142,20,82.1088,20
DC-02,SKU-009,antiviral,99.7,0.9967153,0.15606718,536,78,314.64480000000003,78
DC-03,SKU-010,reefer,99.7,0.87378186,0.12679419,419,49,205.0224,51
DC-04,SKU-004,reefer,99.6,0.9975018,0.18937041,553,81,320.3904,80
DC-01,SKU-003,antiviral,99.6,0.9867705,0.1739183,19,2,9.7152,2
DC-05,SKU-011,cardiac,99.5,0.99542516,0.2562218,354,48,191.5872,47
DC-01,SKU-010,reefer,99.4,0.98573065,0.30268314,223,28,106.8528,26
DC-05,SKU-008,antiviral,99.2,0.9976648,0.3618961,144,20,82.2864,20
DC-01,SKU-013,reefer,99.2,0.99197066,0.3915597,404,59,228.04319999999998,57
DC-04,SKU-008,antiviral,99.1,0.9954926,0.43110505,360,45,185.11679999999998,46
DC-02,SKU-006,antibiotic,99.1,0.9330625,0.41280332,207,21,80.712,20
DC-01,SKU-008,antiviral,99.0,0.99453616,0.46486574,329,49,188.0448,47
DC-03,SKU-005,reefer,98.9,0.99078935,0.53440607,567,89,341.40479999999997,85
DC-03,SKU-012,antiviral,98.9,0.97909147,0.55040497,409,55,211.0224,52
DC-01,SKU-006,antibiotic,98.7,0.99624217,0.6442519,116,18,69.5184,17
DC-01,SKU-008,antiviral,98.7,0.9924326,0.6478921,259,40,152.1408,38
DC-03,SKU-015,cardiac,98.5,0.99648845,0.70455205,137,15,59.227199999999996,14
DC-02,SKU-009,antiviral,98.5,0.9908799,0.7406944,277,40,152.2752,38
DC-05,SKU-009,antiviral,98.2,0.9925639,0.87457544,399,62,233.86560000000003,58
DC-05,SKU-007,antiviral,98.1,0.9924461,0.9006072,432,61,230.976,57
DC-01,SKU-012,antiviral,98.1,0.9848428,0.9090574,314,47,177.6624,44
DC-04,SKU-007,antiviral,98.1,0.98226464,0.89492214,245,33,125.232,31
DC-03,SKU-003,antiviral,97.8,0.99656916,1.0615978,395,61,227.1264,56
DC-05,SKU-006,antibiotic,97.8,0.9964134,1.063026,155,25,94.4064,23
DC-02,SKU-005,reefer,97.6,0.995216,1.1745554,416,68,251.62560000000002,62
DC-04,SKU-005,reefer,97.2,0.9784985,1.3412076,463,70,253.49280000000002,63
DC-04,SKU-008,antiviral,97.1,0.99669516,1.4060378,273,37,132.4128,33
DC-04,SKU-001,cardiac,97.1,0.9963887,1.4020524,161,24,89.49600000000001,22
DC-03,SKU-015,cardiac,97.0,0.99746406,1.4301804,89,15,53.4816,13
DC-04,SKU-015,cardiac,97.0,0.99691284,1.4468235,86,14,51.830400000000004,12
DC-01,SKU-005,reefer,97.0,0.9926726,1.4524903,290,35,125.4864,31
DC-05,SKU-014,antibiotic,96.9,0.99921334,1.5004385,108,16,60.3552,15
DC-03,SKU-009,antiviral,96.7,0.9908276,1.607669,148,17,60.3744,15
DC-04,SKU-013,reefer,96.6,0.99290764,1.625151,305,48,171.6288,42
DC-02,SKU-012,antiviral,96.3,0.99704796,1.7915071,395,69,241.5312,60
DC-01,SKU-011,cardiac,96.2,0.9942121,1.8226459,432,66,231.8784,57
DC-04,SKU-013,reefer,96.0,0.99541485,1.9206942,422,70,243.9888,60
DC-04,SKU-010,reefer,96.0,0.98667693,1.9087754,283,36,124.4976,31
DC-04,SKU-013,reefer,96.0,0.98059374,1.9152975,270,43,150.9792,37
DC-05,SKU-011,cardiac,95.9,0.9990128,1.9797214,245,34,119.7552,29
DC-05,SKU-006,antibiotic,95.8,0.9966466,2.0120585,182,27,95.064,23
DC-03,SKU-006,antibiotic,95.7,0.98071504,2.0641298,439,73,251.80800000000002,62
DC-05,SKU-007,antiviral,95.5,0.99070007,2.154016,103,12,42.8544,10
DC-03,SKU-002,reefer,95.4,0.9968035,2.2312574,125,18,62.476800000000004,15
DC-04,SKU-008,antiviral,95.4,0.99647695,2.2218144,138,24,83.3664,20
DC-05,SKU-012,antiviral,95.4,0.9955676,2.2056918,550,96,327.4128,81
DC-05,SKU-012,antiviral,95.3,0.9915242,2.2393684,318,51,173.8416,43
DC-05,SKU-013,reefer,95.3,0.99082196,2.2692308,309,51,173.8176,43
DC-05,SKU-010,reefer,95.2,0.994643,2.2871666,484,83,283.4496,70
DC-04,SKU-004,reefer,95.2,0.99397933,2.3032916,307,37,125.60159999999999,31
DC-02,SKU-010,reefer,95.1,0.99243474,2.3619194,268,48,163.44,40
DC-04,SKU-007,antiviral,94.9,0.9971788,2.4471185,421,72,243.2736,60
DC-02,SKU-011,cardiac,94.8,0.9988206,2.4931273,425,71,236.0112,59
DC-04,SKU-002,reefer,94.8,0.9968483,2.5193453,228,35,117.7872,29
